,Gene,WT_K27me3,NSD1KO_K27me3,WT_K36me2,NSD1KO_K36me2,WT_K36me3,NSD1KO_K36me3,change_K27me3,change_K36me3,change_K36me2,LFC,tpm_Parental,tpm_NSD1KO
569,Lhx2,0.2667969405061691,0.279617974079796,0.166083938386509,0.0153250961848171,0.0040166006989568,0.0023256975031166,0.0677149788387261,-0.7883115845723514,-3.437944526336248,2.36113889021598,0.6201701559387386,3.3597508753432423
581,Kif5c,0.0133269105155949,0.0180248138313892,0.2505285588905104,0.127757729812431,0.0171026613799064,0.0224180614406766,0.4356419894297276,0.3904406859321639,-0.97156449000939,1.21663085663179,14.488906635552471,31.884583116195525
589,Kcnj3,0.0189251992438595,0.044205725963005,0.100222006462674,0.0512967300040385,0.0051211326473071,0.0088791771965161,1.2239247649207532,0.7939630648911895,-0.9662605593199342,0.551418108185025,11.18961715551096,16.061980002608053
603,Cobll1,0.0237940189499945,0.1338226897847683,0.2362123442228712,0.0047247199503081,0.0039329446305314,0.0011398811899315,2.4916518701051547,-1.7867264158191851,-5.643711731704473,-2.62237877229374,3.261002261943692,0.4716573429281503
606,Galnt3,0.0323038426673106,0.151310192099434,0.2625799668051053,0.0081847360244898,0.0082813577252176,0.0017840133949172,2.227731474879356,-2.214740868885324,-5.003677154272326,-3.34453155732666,6.049015328378515,0.5224356912721444
612,Stk39,0.0269267329129094,0.171763782236042,0.3100058053099878,0.0054716412496982,0.0050083682258991,0.001273719147264,2.673314764969552,-1.9752934351321607,-5.824177779632837,-1.95083374108614,4.656507044203193,1.0461012534460532
620,Cybrd1,0.0373036131414454,0.1873991858348681,0.3086404762457396,0.0070898501088558,0.0050294432278485,0.0015134681110445,2.328727406693718,-1.7325404211342763,-5.444028337586953,-2.17874950884843,0.7913050198309952,0.0782903835010247
623,Rapgef4,0.0223243322883132,0.1733487054781249,0.3382220134908086,0.0062785361174179,0.0047688543058835,0.0014314806768401,2.9569881322360643,-1.7361345114433535,-5.75139852736086,-1.48880754978901,1.0294088836298956,0.2271621634712086
633,Osbpl6,0.0199023322799444,0.1473375254843794,0.2746512356377939,0.0054182631963824,0.0044895832488552,0.0014249421130599,2.8881155082261545,-1.6556782188898955,-5.663626496950871,-2.47802735552497,1.7213811191844115,0.2509570523323156
659,Ptprj,0.0210877719429622,0.1024354546236146,0.3131823785651978,0.0386082914219124,0.007193135806578,0.0034821877972255,2.280236564246766,-1.0466268316728404,-3.020020425098336,1.20541116611323,10.77585445067687,23.65261279053413
674,Dgkz,0.0203937893209729,0.0769406901270871,0.3693035957541967,0.0890394062427007,0.0338156208600009,0.0155117049130358,1.915616906128163,-1.1243325784018552,-2.0522914322835346,-0.635485108247883,42.341864706913285,24.76720139172935
675,Creb3l1,0.0345507537829595,0.0904442160362713,0.305670698220204,0.0539120582176204,0.0121845205312204,0.0061239536928426,1.388311058771405,-0.9925142023479956,-2.503298367269628,-0.421242441118252,25.718193571786024,16.706764803675892
676,Phf21a,0.0101220828962567,0.0593817735454389,0.2533100511556903,0.0933597163734487,0.0199943221862751,0.0177063300258385,2.552513988031456,-0.1753251571197515,-1.4400322399984082,0.253009663907919,43.02729679524636,48.94892258970866
679,Chst1,0.0912343224012383,0.2588476984763033,0.335548589486977,0.0051772593720891,0.0040979989867422,0.001865050199302,1.5044549163778913,-1.1357051653513244,-6.018189285755671,-2.16878956066887,1.5094181093451056,0.1643768457005916
682,Trp53i11,0.0362035206253452,0.0734673659344392,0.3309873201031125,0.0420667622866226,0.0166879126878238,0.0063682761889764,1.0209735502508506,-1.3898287034030412,-2.976023260510556,-0.886550353692617,30.93056637947482,14.893639420107435
702,Wt1,0.066317690036966,0.2080297775942058,0.2519047855485923,0.0062166770239886,0.0106468394956133,0.0015219123795811,1.6493243907964292,-2.8064680246516573,-5.340591091377144,-3.72499274929493,6.022477419059653,0.397559155309217
713,Ryr3,0.0237984684753346,0.1241478982243882,0.1920601511148385,0.006705953913142,0.0038305498189123,0.0014880980451122,2.3831191988996028,-1.3640819013427,-4.83997183941598,-1.20586907817679,0.4159472097235782,0.1274070606107061
723,Inafm2,0.3151500918859735,0.1350767879965342,0.1671487395779802,0.0941545621773928,0.0103582577919648,0.0082514803630188,-1.2222593044813,-0.328056493739255,-0.82802956985667,1.73137079267096,3.4182752090058024,11.223971133812867
735,Itpka,0.1535898797934382,0.0209935474827795,0.3016308928995743,0.1093675445981445,0.0138803941269478,0.0243227196091595,-2.8710652799453897,0.809256017514954,-1.4635995221485585,2.11777244626901,11.843689943307758,48.93910282546096
782,Bcl2l11,0.0086743448500725,0.0166526416153317,0.1620896549398431,0.1078819625994704,0.0853927860601474,0.0399068081610016,0.940924346709529,-1.0974793034673749,-0.5873383439826861,-0.38233961490249,34.07234253179277,23.71731750771085
809,Bmp2,0.1455865775443559,0.2811892888085535,0.1346847114140876,0.0042042122438686,0.003210225349364,0.0013924239043743,0.9496642882591724,-1.2050760875056397,-5.001606780326627,-2.88743731831597,1.2621816843143052,0.0556195173764215
810,Plcb1,0.0184680097949529,0.1115900436571198,0.2086201796560125,0.0050099747705363,0.0040151838123709,0.0012286016524266,2.595108004267405,-1.7084488060568723,-5.3799315668223295,-3.21191623443551,1.1283271163872268,0.0988546475920187
836,Snph,0.0559921705382602,0.2359652392273454,0.2956366710589519,0.0054803703774354,0.0045562580696082,0.0015649119931617,2.0752773349835816,-1.5417679388206702,-5.753408026149993,-2.08138653320945,0.318397556218511,0.0111429713336448
